###############################################
# file created at: Wed Sep  1 23:26:01 2021

# Cylinder map info
# center = (0.000000, 0.000000, 0.000000)
# radius = 0.007000
# height = 0.026300
# cubelen = 0.000500
# xy num = 616
# z num = 53
# cirnum*heinum = 32648

# Z0 coil info
# center = (0.000000, 0.000000, 0.000000)
# radius = 0.250000
# gap = 0.400000
# winding = 1.000000
# current = 40000.000000
###############################################

# x	y	z	Bx	By	Bz
-0.003750 0.000750 -0.012900 0.000227 -0.000045 0.199480
-0.003750 0.001250 -0.012900 0.000227 -0.000076 0.199483
-0.003750 0.001750 -0.012900 0.000227 -0.000106 0.199486
-0.003750 0.002250 -0.012900 0.000227 -0.000136 0.199491
-0.003750 0.002750 -0.012900 0.000227 -0.000167 0.199496
-0.003750 0.003250 -0.012900 0.000227 -0.000197 0.199503
-0.003750 0.003750 -0.012900 0.000227 -0.000227 0.199511
-0.003750 0.004250 -0.012900 0.000227 -0.000258 0.199521
-0.003750 0.004750 -0.012900 0.000227 -0.000288 0.199531
-0.003750 0.005250 -0.012900 0.000227 -0.000318 0.199543
-0.003750 0.005750 -0.012900 0.000227 -0.000349 0.199556
-0.003250 -0.005750 -0.012900 0.000197 0.000349 0.199548
-0.003250 -0.005250 -0.012900 0.000197 0.000318 0.199535
-0.003250 -0.004750 -0.012900 0.000197 0.000288 0.199523
-0.003250 -0.004250 -0.012900 0.000197 0.000258 0.199513
-0.003250 -0.003750 -0.012900 0.000197 0.000227 0.199503
-0.003250 -0.003250 -0.012900 0.000197 0.000197 0.199495
-0.003250 -0.002750 -0.012900 0.000197 0.000167 0.199488
-0.003250 -0.002250 -0.012900 0.000197 0.000136 0.199482
-0.003250 -0.001750 -0.012900 0.000197 0.000106 0.199478
-0.003250 -0.001250 -0.012900 0.000197 0.000076 0.199474
-0.003250 -0.000750 -0.012900 0.000197 0.000045 0.199472
-0.003250 -0.000250 -0.012900 0.000197 0.000015 0.199471
-0.003250 0.000250 -0.012900 0.000197 -0.000015 0.199471
-0.003250 0.000750 -0.012900 0.000197 -0.000045 0.199472
-0.003250 0.001250 -0.012900 0.000197 -0.000076 0.199474
-0.003250 0.001750 -0.012900 0.000197 -0.000106 0.199478
-0.003250 0.002250 -0.012900 0.000197 -0.000136 0.199482
-0.003250 0.002750 -0.012900 0.000197 -0.000167 0.199488
-0.003250 0.003250 -0.012900 0.000197 -0.000197 0.199495
-0.003250 0.003750 -0.012900 0.000197 -0.000227 0.199503
-0.003250 0.004250 -0.012900 0.000197 -0.000258 0.199513
-0.003250 0.004750 -0.012900 0.000197 -0.000288 0.199523
-0.003250 0.005250 -0.012900 0.000197 -0.000318 0.199535
-0.003250 0.005750 -0.012900 0.000197 -0.000349 0.199547
-0.002750 -0.006250 -0.012900 0.000167 0.000379 0.199554
-0.002750 -0.005750 -0.012900 0.000167 0.000349 0.199540
-0.002750 -0.005250 -0.012900 0.000167 0.000318 0.199528
-0.002750 -0.004750 -0.012900 0.000167 0.000288 0.199516
-0.002750 -0.004250 -0.012900 0.000167 0.000258 0.199506
-0.002750 -0.003750 -0.012900 0.000167 0.000227 0.199496
-0.002750 -0.003250 -0.012900 0.000167 0.000197 0.199488
-0.002750 -0.002750 -0.012900 0.000167 0.000167 0.199481
-0.002750 -0.002250 -0.012900 0.000167 0.000136 0.199475
-0.002750 -0.001750 -0.012900 0.000167 0.000106 0.199471
-0.002750 -0.001250 -0.012900 0.000167 0.000076 0.199467
-0.002750 -0.000750 -0.012900 0.000167 0.000045 0.199465
-0.002750 -0.000250 -0.012900 0.000167 0.000015 0.199464
-0.002750 0.000250 -0.012900 0.000167 -0.000015 0.199464
-0.002750 0.000750 -0.012900 0.000167 -0.000045 0.199465
-0.002750 0.001250 -0.012900 0.000167 -0.000076 0.199468
-0.002750 0.001750 -0.012900 0.000167 -0.000106 0.199471
-0.002750 0.002250 -0.012900 0.000167 -0.000136 0.199476
-0.002750 0.002750 -0.012900 0.000167 -0.000167 0.199481
-0.002750 0.003250 -0.012900 0.000167 -0.000197 0.199488
-0.002750 0.003750 -0.012900 0.000167 -0.000227 0.199496
-0.002750 0.004250 -0.012900 0.000167 -0.000258 0.199506
-0.002750 0.004750 -0.012900 0.000167 -0.000288 0.199516
-0.002750 0.005250 -0.012900 0.000167 -0.000318 0.199528
-0.002750 0.005750 -0.012900 0.000167 -0.000349 0.199541
-0.002750 0.006250 -0.012900 0.000167 -0.000379 0.199554
-0.002250 -0.006250 -0.012900 0.000136 0.000379 0.199549
-0.002250 -0.005750 -0.012900 0.000136 0.000349 0.199535
-0.002250 -0.005250 -0.012900 0.000136 0.000318 0.199522
-0.002250 -0.004750 -0.012900 0.000136 0.000288 0.199510
-0.002250 -0.004250 -0.012900 0.000136 0.000258 0.199500
-0.002250 -0.003750 -0.012900 0.000136 0.000227 0.199491
-0.002250 -0.003250 -0.012900 0.000136 0.000197 0.199482
-0.002250 -0.002750 -0.012900 0.000136 0.000167 0.199476
-0.002250 -0.002250 -0.012900 0.000136 0.000136 0.199470
-0.002250 -0.001750 -0.012900 0.000136 0.000106 0.199465
-0.002250 -0.001250 -0.012900 0.000136 0.000076 0.199461
-0.002250 -0.000750 -0.012900 0.000136 0.000045 0.199459
-0.002250 -0.000250 -0.012900 0.000136 0.000015 0.199458
-0.002250 0.000250 -0.012900 0.000136 -0.000015 0.199458
-0.002250 0.000750 -0.012900 0.000136 -0.000045 0.199459
-0.002250 0.001250 -0.012900 0.000136 -0.000076 0.199462
-0.002250 0.001750 -0.012900 0.000136 -0.000106 0.199465
-0.002250 0.002250 -0.012900 0.000136 -0.000136 0.199470
-0.002250 0.002750 -0.012900 0.000136 -0.000167 0.199476
-0.002250 0.003250 -0.012900 0.000136 -0.000197 0.199483
-0.002250 0.003750 -0.012900 0.000136 -0.000227 0.199491
-0.002250 0.004250 -0.012900 0.000136 -0.000258 0.199500
-0.002250 0.004750 -0.012900 0.000136 -0.000288 0.199510
-0.002250 0.005250 -0.012900 0.000136 -0.000318 0.199522
-0.002250 0.005750 -0.012900 0.000136 -0.000349 0.199535
-0.002250 0.006250 -0.012900 0.000136 -0.000379 0.199549
-0.001750 -0.006750 -0.012900 0.000106 0.000409 0.199559
-0.001750 -0.006250 -0.012900 0.000106 0.000379 0.199544
-0.001750 -0.005750 -0.012900 0.000106 0.000349 0.199530
-0.001750 -0.005250 -0.012900 0.000106 0.000318 0.199517
-0.001750 -0.004750 -0.012900 0.000106 0.000288 0.199506
-0.001750 -0.004250 -0.012900 0.000106 0.000258 0.199495
-0.001750 -0.003750 -0.012900 0.000106 0.000227 0.199486
-0.001750 -0.003250 -0.012900 0.000106 0.000197 0.199478
-0.001750 -0.002750 -0.012900 0.000106 0.000167 0.199471
-0.001750 -0.002250 -0.012900 0.000106 0.000136 0.199465
-0.001750 -0.001750 -0.012900 0.000106 0.000106 0.199460
-0.001750 -0.001250 -0.012900 0.000106 0.000076 0.199457
-0.001750 -0.000750 -0.012900 0.000106 0.000045 0.199455
-0.001750 -0.000250 -0.012900 0.000106 0.000015 0.199454
-0.001750 0.000250 -0.012900 0.000106 -0.000015 0.199454
-0.001750 0.000750 -0.012900 0.000106 -0.000045 0.199455
-0.001750 0.001250 -0.012900 0.000106 -0.000076 0.199457
-0.001750 0.001750 -0.012900 0.000106 -0.000106 0.199460
-0.001750 0.002250 -0.012900 0.000106 -0.000136 0.199465
-0.001750 0.002750 -0.012900 0.000106 -0.000167 0.199471
-0.001750 0.003250 -0.012900 0.000106 -0.000197 0.199478
-0.001750 0.003750 -0.012900 0.000106 -0.000227 0.199486
-0.001750 0.004250 -0.012900 0.000106 -0.000258 0.199495
-0.001750 0.004750 -0.012900 0.000106 -0.000288 0.199506
-0.001750 0.005250 -0.012900 0.000106 -0.000318 0.199517
-0.001750 0.005750 -0.012900 0.000106 -0.000349 0.199530
-0.001750 0.006250 -0.012900 0.000106 -0.000379 0.199544
-0.001750 0.006750 -0.012900 0.000106 -0.000409 0.199559
-0.001250 -0.006750 -0.012900 0.000076 0.000409 0.199556
-0.001250 -0.006250 -0.012900 0.000076 0.000379 0.199540
-0.001250 -0.005750 -0.012900 0.000076 0.000349 0.199527
-0.001250 -0.005250 -0.012900 0.000076 0.000318 0.199514
-0.001250 -0.004750 -0.012900 0.000076 0.000288 0.199502
-0.001250 -0.004250 -0.012900 0.000076 0.000258 0.199492
-0.001250 -0.003750 -0.012900 0.000076 0.000227 0.199483
-0.001250 -0.003250 -0.012900 0.000076 0.000197 0.199474
-0.001250 -0.002750 -0.012900 0.000076 0.000167 0.199467
-0.001250 -0.002250 -0.012900 0.000076 0.000136 0.199462
-0.001250 -0.001750 -0.012900 0.000076 0.000106 0.199457
-0.001250 -0.001250 -0.012900 0.000076 0.000076 0.199453
-0.001250 -0.000750 -0.012900 0.000076 0.000045 0.199451
-0.001250 -0.000250 -0.012900 0.000076 0.000015 0.199450
-0.001250 0.000250 -0.012900 0.000076 -0.000015 0.199450
-0.001250 0.000750 -0.012900 0.000076 -0.000045 0.199451
-0.001250 0.001250 -0.012900 0.000076 -0.000076 0.199453
-0.001250 0.001750 -0.012900 0.000076 -0.000106 0.199457
-0.001250 0.002250 -0.012900 0.000076 -0.000136 0.199462
-0.001250 0.002750 -0.012900 0.000076 -0.000167 0.199467
-0.001250 0.003250 -0.012900 0.000076 -0.000197 0.199474
-0.001250 0.003750 -0.012900 0.000076 -0.000227 0.199483
-0.001250 0.004250 -0.012900 0.000076 -0.000258 0.199492
-0.001250 0.004750 -0.012900 0.000076 -0.000288 0.199502
-0.001250 0.005250 -0.012900 0.000076 -0.000318 0.199514
-0.001250 0.005750 -0.012900 0.000076 -0.000349 0.199526
-0.001250 0.006250 -0.012900 0.000076 -0.000379 0.199540
-0.001250 0.006750 -0.012900 0.000076 -0.000409 0.199556
-0.000750 -0.006750 -0.012900 0.000046 0.000409 0.199553
-0.000750 -0.006250 -0.012900 0.000045 0.000379 0.199538
-0.000750 -0.005750 -0.012900 0.000045 0.000349 0.199524
-0.000750 -0.005250 -0.012900 0.000045 0.000318 0.199512
-0.000750 -0.004750 -0.012900 0.000045 0.000288 0.199500
-0.000750 -0.004250 -0.012900 0.000045 0.000258 0.199489
-0.000750 -0.003750 -0.012900 0.000045 0.000227 0.199480
-0.000750 -0.003250 -0.012900 0.000045 0.000197 0.199472
-0.000750 -0.002750 -0.012900 0.000045 0.000167 0.199465
-0.000750 -0.002250 -0.012900 0.000045 0.000136 0.199459
-0.000750 -0.001750 -0.012900 0.000045 0.000106 0.199455
-0.000750 -0.001250 -0.012900 0.000045 0.000076 0.199451
-0.000750 -0.000750 -0.012900 0.000045 0.000045 0.199449
-0.000750 -0.000250 -0.012900 0.000045 0.000015 0.199448
-0.000750 0.000250 -0.012900 0.000045 -0.000015 0.199448
-0.000750 0.000750 -0.012900 0.000045 -0.000045 0.199449
-0.000750 0.001250 -0.012900 0.000045 -0.000076 0.199451
-0.000750 0.001750 -0.012900 0.000045 -0.000106 0.199455
-0.000750 0.002250 -0.012900 0.000045 -0.000136 0.199459
-0.000750 0.002750 -0.012900 0.000045 -0.000167 0.199465
-0.000750 0.003250 -0.012900 0.000045 -0.000197 0.199472
-0.000750 0.003750 -0.012900 0.000045 -0.000227 0.199480
-0.000750 0.004250 -0.012900 0.000045 -0.000258 0.199489
-0.000750 0.004750 -0.012900 0.000045 -0.000288 0.199500
-0.000750 0.005250 -0.012900 0.000045 -0.000318 0.199511
-0.000750 0.005750 -0.012900 0.000045 -0.000349 0.199524
-0.000750 0.006250 -0.012900 0.000045 -0.000379 0.199538
-0.000750 0.006750 -0.012900 0.000046 -0.000409 0.199553
-0.000250 -0.006750 -0.012900 0.000015 0.000409 0.199552
-0.000250 -0.006250 -0.012900 0.000015 0.000379 0.199537
-0.000250 -0.005750 -0.012900 0.000015 0.000349 0.199523
-0.000250 -0.005250 -0.012900 0.000015 0.000318 0.199510
-0.000250 -0.004750 -0.012900 0.000015 0.000288 0.199499
-0.000250 -0.004250 -0.012900 0.000015 0.000258 0.199488
-0.000250 -0.003750 -0.012900 0.000015 0.000227 0.199479
-0.000250 -0.003250 -0.012900 0.000015 0.000197 0.199471
-0.000250 -0.002750 -0.012900 0.000015 0.000167 0.199464
-0.000250 -0.002250 -0.012900 0.000015 0.000136 0.199458
-0.000250 -0.001750 -0.012900 0.000015 0.000106 0.199454
-0.000250 -0.001250 -0.012900 0.000015 0.000076 0.199450
-0.000250 -0.000750 -0.012900 0.000015 0.000045 0.199448
-0.000250 -0.000250 -0.012900 0.000015 0.000015 0.199447
-0.000250 0.000250 -0.012900 0.000015 -0.000015 0.199447
-0.000250 0.000750 -0.012900 0.000015 -0.000045 0.199448
-0.000250 0.001250 -0.012900 0.000015 -0.000076 0.199450
-0.000250 0.001750 -0.012900 0.000015 -0.000106 0.199454
-0.000250 0.002250 -0.012900 0.000015 -0.000136 0.199458
-0.000250 0.002750 -0.012900 0.000015 -0.000167 0.199464
-0.000250 0.003250 -0.012900 0.000015 -0.000197 0.199471
-0.000250 0.003750 -0.012900 0.000015 -0.000227 0.199479
-0.000250 0.004250 -0.012900 0.000015 -0.000258 0.199488
-0.000250 0.004750 -0.012900 0.000015 -0.000288 0.199499
-0.000250 0.005250 -0.012900 0.000015 -0.000318 0.199510
-0.000250 0.005750 -0.012900 0.000015 -0.000349 0.199523
-0.000250 0.006250 -0.012900 0.000015 -0.000379 0.199537
-0.000250 0.006750 -0.012900 0.000015 -0.000409 0.199552
0.000250 -0.006750 -0.012900 -0.000015 0.000409 0.199552
0.000250 -0.006250 -0.012900 -0.000015 0.000379 0.199537
0.000250 -0.005750 -0.012900 -0.000015 0.000349 0.199523
0.000250 -0.005250 -0.012900 -0.000015 0.000318 0.199510
0.000250 -0.004750 -0.012900 -0.000015 0.000288 0.199499
0.000250 -0.004250 -0.012900 -0.000015 0.000258 0.199488
0.000250 -0.003750 -0.012900 -0.000015 0.000227 0.199479
0.000250 -0.003250 -0.012900 -0.000015 0.000197 0.199471
0.000250 -0.002750 -0.012900 -0.000015 0.000167 0.199464
0.000250 -0.002250 -0.012900 -0.000015 0.000136 0.199458
0.000250 -0.001750 -0.012900 -0.000015 0.000106 0.199454
0.000250 -0.001250 -0.012900 -0.000015 0.000076 0.199450
0.000250 -0.000750 -0.012900 -0.000015 0.000045 0.199448
0.000250 -0.000250 -0.012900 -0.000015 0.000015 0.199447
0.000250 0.000250 -0.012900 -0.000015 -0.000015 0.199447
0.000250 0.000750 -0.012900 -0.000015 -0.000045 0.199448
0.000250 0.001250 -0.012900 -0.000015 -0.000076 0.199450
0.000250 0.001750 -0.012900 -0.000015 -0.000106 0.199454
0.000250 0.002250 -0.012900 -0.000015 -0.000136 0.199458
0.000250 0.002750 -0.012900 -0.000015 -0.000167 0.199464
0.000250 0.003250 -0.012900 -0.000015 -0.000197 0.199471
0.000250 0.003750 -0.012900 -0.000015 -0.000227 0.199479
0.000250 0.004250 -0.012900 -0.000015 -0.000258 0.199488
0.000250 0.004750 -0.012900 -0.000015 -0.000288 0.199499
0.000250 0.005250 -0.012900 -0.000015 -0.000318 0.199510
0.000250 0.005750 -0.012900 -0.000015 -0.000349 0.199523
0.000250 0.006250 -0.012900 -0.000015 -0.000379 0.199537
0.000250 0.006750 -0.012900 -0.000015 -0.000409 0.199552
0.000750 -0.006750 -0.012900 -0.000045 0.000409 0.199553
0.000750 -0.006250 -0.012900 -0.000045 0.000379 0.199538
0.000750 -0.005750 -0.012900 -0.000045 0.000349 0.199524
0.000750 -0.005250 -0.012900 -0.000045 0.000318 0.199512
0.000750 -0.004750 -0.012900 -0.000045 0.000288 0.199500
0.000750 -0.004250 -0.012900 -0.000045 0.000258 0.199489
0.000750 -0.003750 -0.012900 -0.000045 0.000227 0.199480
0.000750 -0.003250 -0.012900 -0.000045 0.000197 0.199472
0.000750 -0.002750 -0.012900 -0.000045 0.000167 0.199465
0.000750 -0.002250 -0.012900 -0.000045 0.000136 0.199459
0.000750 -0.001750 -0.012900 -0.000045 0.000106 0.199455
0.000750 -0.001250 -0.012900 -0.000045 0.000076 0.199451
0.000750 -0.000750 -0.012900 -0.000045 0.000045 0.199449
0.000750 -0.000250 -0.012900 -0.000045 0.000015 0.199448
0.000750 0.000250 -0.012900 -0.000045 -0.000015 0.199448
0.000750 0.000750 -0.012900 -0.000045 -0.000045 0.199449
0.000750 0.001250 -0.012900 -0.000045 -0.000076 0.199451
0.000750 0.001750 -0.012900 -0.000045 -0.000106 0.199455
0.000750 0.002250 -0.012900 -0.000045 -0.000136 0.199459
0.000750 0.002750 -0.012900 -0.000045 -0.000167 0.199465
0.000750 0.003250 -0.012900 -0.000045 -0.000197 0.199472
0.000750 0.003750 -0.012900 -0.000045 -0.000227 0.199480
0.000750 0.004250 -0.012900 -0.000045 -0.000258 0.199490
0.000750 0.004750 -0.012900 -0.000045 -0.000288 0.199500
0.000750 0.005250 -0.012900 -0.000045 -0.000318 0.199511
0.000750 0.005750 -0.012900 -0.000045 -0.000349 0.199524
0.000750 0.006250 -0.012900 -0.000045 -0.000379 0.199538
0.000750 0.006750 -0.012900 -0.000045 -0.000409 0.199553
0.001250 -0.006750 -0.012900 -0.000076 0.000409 0.199556
0.001250 -0.006250 -0.012900 -0.000076 0.000379 0.199540
0.001250 -0.005750 -0.012900 -0.000076 0.000349 0.199527
0.001250 -0.005250 -0.012900 -0.000076 0.000318 0.199514
0.001250 -0.004750 -0.012900 -0.000076 0.000288 0.199502
0.001250 -0.004250 -0.012900 -0.000076 0.000258 0.199492
0.001250 -0.003750 -0.012900 -0.000076 0.000227 0.199483
0.001250 -0.003250 -0.012900 -0.000076 0.000197 0.199474
0.001250 -0.002750 -0.012900 -0.000076 0.000167 0.199467
0.001250 -0.002250 -0.012900 -0.000076 0.000136 0.199461
0.001250 -0.001750 -0.012900 -0.000076 0.000106 0.199457
0.001250 -0.001250 -0.012900 -0.000076 0.000076 0.199453
0.001250 -0.000750 -0.012900 -0.000076 0.000045 0.199451
0.001250 -0.000250 -0.012900 -0.000076 0.000015 0.199450
0.001250 0.000250 -0.012900 -0.000076 -0.000015 0.199450
0.001250 0.000750 -0.012900 -0.000076 -0.000045 0.199451
0.001250 0.001250 -0.012900 -0.000076 -0.000076 0.199453
0.001250 0.001750 -0.012900 -0.000076 -0.000106 0.199457
0.001250 0.002250 -0.012900 -0.000076 -0.000136 0.199461
0.001250 0.002750 -0.012900 -0.000076 -0.000167 0.199467
0.001250 0.003250 -0.012900 -0.000076 -0.000197 0.199474
0.001250 0.003750 -0.012900 -0.000076 -0.000227 0.199482
0.001250 0.004250 -0.012900 -0.000076 -0.000258 0.199492
0.001250 0.004750 -0.012900 -0.000076 -0.000288 0.199502
0.001250 0.005250 -0.012900 -0.000076 -0.000318 0.199514
0.001250 0.005750 -0.012900 -0.000076 -0.000349 0.199526
0.001250 0.006250 -0.012900 -0.000076 -0.000379 0.199540
0.001250 0.006750 -0.012900 -0.000076 -0.000409 0.199556
0.001750 -0.006750 -0.012900 -0.000106 0.000409 0.199559
0.001750 -0.006250 -0.012900 -0.000106 0.000379 0.199544
0.001750 -0.005750 -0.012900 -0.000106 0.000349 0.199530
0.001750 -0.005250 -0.012900 -0.000106 0.000318 0.199517
0.001750 -0.004750 -0.012900 -0.000106 0.000288 0.199505
0.001750 -0.004250 -0.012900 -0.000106 0.000258 0.199495
0.001750 -0.003750 -0.012900 -0.000106 0.000227 0.199486
0.001750 -0.003250 -0.012900 -0.000106 0.000197 0.199478
0.001750 -0.002750 -0.012900 -0.000106 0.000167 0.199471
0.001750 -0.002250 -0.012900 -0.000106 0.000136 0.199465
0.001750 -0.001750 -0.012900 -0.000106 0.000106 0.199460
0.001750 -0.001250 -0.012900 -0.000106 0.000076 0.199457
0.001750 -0.000750 -0.012900 -0.000106 0.000045 0.199455
0.001750 -0.000250 -0.012900 -0.000106 0.000015 0.199454
0.001750 0.000250 -0.012900 -0.000106 -0.000015 0.199454
0.001750 0.000750 -0.012900 -0.000106 -0.000045 0.199455
0.001750 0.001250 -0.012900 -0.000106 -0.000076 0.199457
0.001750 0.001750 -0.012900 -0.000106 -0.000106 0.199460
0.001750 0.002250 -0.012900 -0.000106 -0.000136 0.199465
